"Ingridients_Id";"Ingridients_Name";"Quantity";"Measure";"User_Id";"CreatedDate"
44;"Parmesan cheese";0;"";6;"2023-04-23 10:10:14"
45;"Ground beef";0;"";6;"2023-04-23 14:35:25"
46;"Salt";0;"";6;"2023-04-23 14:35:25"
47;"Pepper";0;"";6;"2023-04-23 14:35:25"
48;"Cheese slices";0;"";6;"2023-04-23 14:35:25"
49;"Buns";0;"";6;"2023-04-23 14:35:25"
50;"Lettuce";0;"";6;"2023-04-23 14:35:26"
51;"Tomato";0;"";6;"2023-04-23 14:35:26"
52;"Onion";0;"";6;"2023-04-23 14:35:26"
53;"Ketchup";0;"";6;"2023-04-23 14:35:26"
54;"mustard";0;"";6;"2023-04-23 14:35:26"
55;"Pizza dough";0;"";6;"2023-04-23 16:32:05"
56;"Tomato sauce";0;"";6;"2023-04-23 16:32:05"
57;"Mozzarella cheese shredded";0;"";6;"2023-04-23 16:32:05"
58;"Fresh basil";0;"";6;"2023-04-23 16:32:05"
59;"Chickpeas";0;"";6;"2023-04-23 17:10:26"
60;"Parsley";0;"";6;"2023-04-23 17:10:26"
61;"Cilantro";0;"";6;"2023-04-23 17:10:26"
62;"Cumin";0;"";6;"2023-04-23 17:10:26"
63;"Coriander";0;"";6;"2023-04-23 17:10:26"
64;"red bell peppers";0;"";6;"2023-04-23 17:26:51"
65;"walnuts";0;"";6;"2023-04-23 17:26:51"
66;"breadcrumbs";0;"";6;"2023-04-23 17:26:51"
67;"pomegranate molasses";0;"";6;"2023-04-23 17:26:51"
68;" lemon juice";0;"";6;"2023-04-23 17:26:51"
69;" garlic cloves";0;"";6;"2023-04-23 17:26:51"
70;"smoked paprika";0;"";6;"2023-04-23 17:26:51"
71;"olive oil";0;"";6;"2023-04-23 17:26:51"
72;"tomatoes";0;"";6;"2023-04-23 18:04:51"
73;"mozzarella balls";0;"";6;"2023-04-23 18:04:51"
74;" basil leaves";0;"";6;"2023-04-23 18:04:51"
75;"Balsamic glaze ";0;"";6;"2023-04-23 18:04:51"
76;"avocados";0;"";6;"2023-04-23 18:11:57"
77;"red onion";0;"";6;"2023-04-23 18:11:57"
78;"jalapeño pepper";0;"";6;"2023-04-23 18:11:57"
79;"flour";0;"";6;"2023-04-23 18:19:22"
80;"yeast";0;"";6;"2023-04-23 18:19:22"
81;"water";0;"";6;"2023-04-23 18:19:22"
82;"sugar";0;"";6;"2023-04-23 18:23:06"
83;"yogurt";0;"";6;"2023-04-23 18:23:06"
84;"milk";0;"";6;"2023-04-23 18:23:06"
85;"melted  butter";0;"";6;"2023-04-23 18:23:06"
86;"cornmeal";0;"";6;"2023-04-23 18:35:29"
87;"baking powder";0;"";6;"2023-04-23 18:35:29"
88;"buttermilk";0;"";6;"2023-04-23 18:35:29"
89;"eggs";0;"";6;"2023-04-23 18:35:29"
90;"vegetable oil";0;"";6;"2023-04-23 18:35:29"
91;"romaine lettuce";0;"";6;"2023-04-23 19:47:13"
92;"cucumber";0;"";6;"2023-04-23 19:47:13"
93;"radish";0;"";6;"2023-04-23 19:47:13"
94;"sumac";0;"";6;"2023-04-23 19:47:13"
95;"green papaya";0;"";6;"2023-04-23 19:50:54"
96;"carrots";0;"";6;"2023-04-23 19:50:54"
97;"peanuts";0;"";6;"2023-04-23 19:50:54"
98;"fish sauce";0;"";6;"2023-04-23 19:50:54"
99;"lime juice";0;"";6;"2023-04-23 19:50:54"
100;" brown sugar";0;"";6;"2023-04-23 19:50:54"
101;"Thai chili peppers";0;"";6;"2023-04-23 19:50:54"
102;"bread";0;"";6;"2023-04-23 19:55:03"
103;"basil";0;"";6;"2023-04-23 19:55:03"
104;"red wine vinegar";0;"";6;"2023-04-23 19:55:03"
105;"black beans";0;"";6;"2023-04-23 19:58:57"
106;"corn kernels";0;"";6;"2023-04-23 19:58:57"
107;"bell pepper";0;"";6;"2023-04-23 19:58:57"
108;"avocado";0;"";6;"2023-04-23 19:58:57"
